timestamp;env;implementation;target_tps;duration_s;sent;received;errors;achieved_tps;p50_ms;p90_ms;p95_ms;p99_ms;max_ms
2026-08-16T22:42:12+02:00;router_py;100;120;11564;11564;0;96,36;5,17;7,13;7,42;8,49;15,39
2026-08-16T22:45:04+02:00;router_java;100;120;11602;11602;0;96,68;3,16;4,26;4,87;5,72;11,9
2026-08-16T22:47:49+02:00;router_cpp;100;120;11538;11538;0;96,14;2,54;3,24;3,54;4,74;10,25
2026-08-17T20:35:12+02:00;router_py;100;120;11094;11094;0;92,44;11,54;12,62;15,42;20,21;125,9
2026-08-17T20:39:02+02:00;router_java;100;120;10905;10905;0;90,87;8,5;12,57;12,78;13,16;43,99
2026-08-17T20:41:49+02:00;router_cpp;100;120;0;0;0;0,0;None;None;None;None;None
2026-08-19T19:46:46+02:00;router_py;100;120;11339;11339;0;94,49;178,78;362,14;404,32;504,23;644,22
2026-08-19T19:50:33+02:00;router_java;100;120;11112;11112;0;92,6;11,85;12,2;12,24;12,35;41,93
2026-08-19T19:53:18+02:00;router_cpp;100;120;11039;11039;0;91,99;6,62;6,97;7,08;7,39;12,31
2026-08-19T19:56:02+02:00;router_py;100;120;11343;11343;0;94,52;149,2;365,75;440,91;576,05;720,87
2026-08-19T19:59:48+02:00;router_java;100;120;11124;11124;0;92,7;11,65;12,23;12,26;12,39;41,83
2026-08-19T20:02:33+02:00;router_cpp;100;120;11030;11030;0;91,92;6,64;6,98;7,09;7,47;16,15
2026-08-19T20:26:26+02:00;router_py;100;120;11326;11326;0;94,38;68,64;204,41;244,72;330,95;476,21
2026-08-19T20:30:10+02:00;router_java;100;120;11173;11173;0;93,1;11,36;12,02;12,69;16,1;95,36
2026-08-19T20:32:55+02:00;router_cpp;100;120;11224;11224;0;93,53;4,24;6,6;7,27;8,85;21,21
2026-08-19T20:39:22+02:00;router_py;100;120;11098;11098;0;92,48;10,36;11,04;11,61;12,46;19,43
2026-08-19T20:43:09+02:00;router_java;100;120;11158;11158;0;92,98;11,48;12,2;12,24;12,73;41,24
2026-08-19T20:45:54+02:00;router_cpp;100;120;11114;11114;0;92,62;6,56;7,02;7,19;7,73;22,26
2026-08-19T20:50:59+02:00;router_py;100;120;11006;11006;0;91,71;10,63;11,06;11,57;11,97;20,08
2026-08-19T20:54:48+02:00;router_java;100;120;11132;11132;0;92,77;11,59;12,21;12,25;12,86;41,99
2026-08-19T20:57:33+02:00;router_cpp;100;120;11037;11037;0;91,97;6,63;6,99;7,1;7,46;17,38
2026-08-19T21:06:33+02:00;router_py;100;300;27556;27556;0;91,85;10,72;12,12;12,19;12,32;53,24
2026-08-19T21:13:54+02:00;router_java;100;300;27667;27667;0;92,22;11,53;12,22;12,25;12,32;53,33
2026-08-19T21:20:15+02:00;router_cpp;100;300;27623;27623;0;92,08;6,64;6,98;7,1;7,44;48,15
2026-08-20T21:36:44+02:00;router_py;100;60;5795;5795;0;96,58;2,93;4,36;4,77;5,67;6,94
2026-08-20T21:39:14+02:00;router_java;100;60;5808;5808;0;96,79;3,34;4,2;4,76;5,55;9,12
2026-08-20T21:40:48+02:00;router_cpp;100;60;5813;5813;0;96,88;2,2;2,74;2,9;3,5;4,34
2026-08-20T21:43:33+02:00;router_py;100;120;11637;11637;0;96,97;2,89;3,14;3,32;4,16;5,68
2026-08-20T21:47:16+02:00;router_java;100;120;11431;11431;0;95,25;10,96;11,29;11,39;11,68;41,97
2026-08-20T21:50:01+02:00;router_cpp;100;120;11601;11601;0;96,67;2,23;2,97;3,34;3,68;10,66
2026-08-20T22:29:04+02:00;router_java;100;120;11600;11600;0;96,66;3,24;4,1;4,61;5,45;9,78
2026-08-20T22:42:41+02:00;router_py;100;120;11529;11529;0;96,07;3,5;4,15;4,72;7,26;24,21
2026-08-20T22:45:34+02:00;router_java;100;120;11599;11599;0;96,65;3,27;4,1;4,59;5,37;11,16
2026-08-20T22:48:20+02:00;router_cpp;100;120;11614;11614;0;96,78;2,24;2,72;2,87;3,15;5,51
2026-08-20T23:07:09+02:00;router_py;100;300;27640;27640;0;92,13;6,91;7,65;7,91;8,81;43,96
2026-08-20T23:13:42+02:00;router_java;100;300;27508;27508;0;91,69;6,36;7,51;7,9;9,08;38,67
2026-08-20T23:20:07+02:00;router_cpp;100;300;26992;26992;0;89,97;11,81;12,62;12,77;13,04;42,15
2026-08-21T20:46:31+02:00;LAPTOP-P5P268SM;router_py;100;120;11474;11474;0;95,61;3,98;4,89;5,46;6,71;10,46
2026-08-21T20:50:24+02:00;LAPTOP-P5P268SM;router_java;100;120;11352;11352;0;94,6;3,91;5,79;7,72;12,11;464,05
2026-08-21T20:59:33+02:00;LAPTOP-P5P268SM;router_cpp;100;120;11023;11023;0;91,85;11,58;12,37;13,69;21,89;55,23
