timestamp;env;implementation;target_tps;duration_s;rank;sent_offset_s;latency_ms
2026-07-31T13:53:41+02:00;xv5;100;300;1;296.827;1801.29
2026-07-31T13:53:41+02:00;xv5;100;300;2;298.553;1701.85
2026-07-31T13:53:41+02:00;xv5;100;300;3;298.617;1699.38
2026-07-31T13:53:41+02:00;xv5;100;300;4;296.445;1698.72
2026-07-31T13:53:41+02:00;xv5;100;300;5;296.911;1681.06
2026-07-31T13:53:41+02:00;xv5;100;300;6;297.661;1677.71
2026-07-31T13:53:41+02:00;xv5;100;300;7;298.086;1660.37
2026-07-31T13:53:41+02:00;xv5;100;300;8;297.449;1654.47
2026-07-31T13:53:41+02:00;xv5;100;300;9;297.417;1622.75
2026-07-31T13:53:41+02:00;xv5;100;300;10;297.289;1615.81
2026-07-31T14:00:28+02:00;xv5;20;10;1;8.875;103.02
2026-07-31T14:00:28+02:00;xv5;20;10;2;8.115;102.33
2026-07-31T14:00:28+02:00;xv5;20;10;3;2.892;101.82
2026-07-31T14:00:28+02:00;xv5;20;10;4;2.538;101.17
2026-07-31T14:00:28+02:00;xv5;20;10;5;2.842;100.78
2026-07-31T14:00:28+02:00;xv5;20;10;6;4.717;99.84
2026-07-31T14:00:28+02:00;xv5;20;10;7;4.159;99.5
2026-07-31T14:00:28+02:00;xv5;20;10;8;6.441;98.02
2026-07-31T14:00:28+02:00;xv5;20;10;9;4.818;97.17
2026-07-31T14:00:28+02:00;xv5;20;10;10;9.331;96.35
2026-07-31T14:06:01+02:00;xv5;80;300;1;154.455;224.96
2026-07-31T14:06:01+02:00;xv5;80;300;2;153.642;213.77
2026-07-31T14:06:01+02:00;xv5;80;300;3;153.589;212.86
2026-07-31T14:06:01+02:00;xv5;80;300;4;153.681;210.7
2026-07-31T14:06:01+02:00;xv5;80;300;5;154.429;205.5
2026-07-31T14:06:01+02:00;xv5;80;300;6;0.563;199.57
2026-07-31T14:06:01+02:00;xv5;80;300;7;152.983;199.33
2026-07-31T14:06:01+02:00;xv5;80;300;8;5.451;197.74
2026-07-31T14:06:01+02:00;xv5;80;300;9;157.803;197.54
2026-07-31T14:06:01+02:00;xv5;80;300;10;2.536;196.57
2026-07-31T14:12:53+02:00;xv6java;20;10;1;0.056;257.29
2026-07-31T14:12:53+02:00;xv6java;20;10;2;0.004;244.21
2026-07-31T14:12:53+02:00;xv6java;20;10;3;0.107;182.3
