timestamp;actor;event
2026-08-22T22:43:12+02:00;crypto_host;up
2026-08-22T22:43:12+02:00;downstream_host;up
2026-08-22T22:43:12+02:00;router_1;up
2026-08-22T22:43:13+02:00;upstream_1;up
2026-08-22T22:43:15+02:00;crypto_host;hard_killed
2026-08-22T22:43:25+02:00;crypto_host;restarted
2026-08-22T22:43:25+02:00;router_1;reconnected=True
2026-08-22T22:43:25+02:00;crypto_host;recovery verdict=PASS rows=3/3 elapsed_s=10.5
2026-08-22T22:43:25+02:00;upstream_1;hard_killed
2026-08-22T22:43:37+02:00;upstream_1;restarted
2026-08-22T22:43:37+02:00;router_1;reconnected=True
2026-08-22T22:43:37+02:00;upstream_1;recovery verdict=PASS rows=3/3 elapsed_s=12.1
2026-08-22T22:43:37+02:00;upstream_1;hard_killed
2026-08-22T22:43:50+02:00;upstream_1;restarted
2026-08-22T22:43:50+02:00;router_1;reconnected=True
2026-08-22T22:43:50+02:00;upstream_1;recovery verdict=PASS rows=3/3 elapsed_s=12.9
2026-08-22T22:43:50+02:00;downstream_host;hard_killed
2026-08-22T22:43:58+02:00;downstream_host;restarted
2026-08-22T22:44:08+02:00;router_1;reconnected=True
2026-08-22T22:44:23+02:00;downstream_host;recovery verdict=FAIL rows=0/3 elapsed_s=32.5
2026-08-22T22:44:23+02:00;crypto_host;hard_killed
2026-08-22T22:44:38+02:00;crypto_host;restarted
2026-08-22T22:44:38+02:00;router_1;reconnected=True
2026-08-22T22:44:53+02:00;crypto_host;recovery verdict=FAIL rows=0/3 elapsed_s=30.4
2026-08-22T22:44:53+02:00;router_1;hard_killed
2026-08-22T22:45:02+02:00;router_1;restarted
2026-08-22T22:45:04+02:00;router_1;reconnected=True
2026-08-22T22:45:04+02:00;router_1;recovery verdict=PASS rows=3/3 elapsed_s=11.4
2026-08-22T22:45:04+02:00;router_1;hard_killed
2026-08-22T22:45:14+02:00;router_1;restarted
2026-08-22T22:45:15+02:00;router_1;reconnected=True
2026-08-22T22:45:16+02:00;router_1;recovery verdict=PASS rows=3/3 elapsed_s=11.5
2026-08-22T22:45:16+02:00;crypto_host;hard_killed
2026-08-22T22:45:26+02:00;crypto_host;restarted
2026-08-22T22:45:26+02:00;router_1;reconnected=True
2026-08-22T22:45:26+02:00;crypto_host;recovery verdict=PASS rows=3/3 elapsed_s=10.4
2026-08-22T22:45:26+02:00;upstream_1;hard_killed
2026-08-22T22:45:40+02:00;upstream_1;restarted
2026-08-22T22:45:40+02:00;router_1;reconnected=True
2026-08-22T22:45:41+02:00;upstream_1;recovery verdict=PASS rows=3/3 elapsed_s=14.3
2026-08-22T22:45:41+02:00;crypto_host;hard_killed
2026-08-22T22:45:49+02:00;crypto_host;restarted
2026-08-22T22:45:49+02:00;router_1;reconnected=True
2026-08-22T22:45:49+02:00;crypto_host;recovery verdict=PASS rows=3/3 elapsed_s=8.7
2026-08-22T23:13:06+02:00;crypto_host;up
2026-08-22T23:13:06+02:00;downstream_host;up
2026-08-22T23:13:07+02:00;router_1;up
2026-08-22T23:13:07+02:00;upstream_1;up
2026-08-22T23:13:09+02:00;downstream_host;hard_killed
2026-08-22T23:13:13+02:00;downstream_host;restarted
2026-08-22T23:13:21+02:00;router_1;reconnected=True
2026-08-22T23:13:22+02:00;downstream_host;recovery verdict=PASS rows=3/3 elapsed_s=12.7
2026-08-22T23:13:22+02:00;upstream_1;hard_killed
2026-08-22T23:13:34+02:00;upstream_1;restarted
2026-08-22T23:13:34+02:00;router_1;reconnected=True
2026-08-22T23:13:34+02:00;upstream_1;recovery verdict=PASS rows=3/3 elapsed_s=12.4
2026-08-22T23:13:34+02:00;upstream_1;hard_killed
2026-08-22T23:13:46+02:00;upstream_1;restarted
2026-08-22T23:13:46+02:00;router_1;reconnected=True
2026-08-22T23:13:47+02:00;upstream_1;recovery verdict=PASS rows=3/3 elapsed_s=12.4
2026-08-22T23:13:47+02:00;router_1;hard_killed
2026-08-22T23:13:54+02:00;router_1;restarted
2026-08-22T23:13:57+02:00;router_1;reconnected=True
2026-08-22T23:13:58+02:00;router_1;recovery verdict=PASS rows=3/3 elapsed_s=11.0
2026-08-22T23:13:58+02:00;crypto_host;hard_killed
2026-08-22T23:14:02+02:00;crypto_host;restarted
2026-08-22T23:14:02+02:00;router_1;reconnected=True
2026-08-22T23:14:02+02:00;crypto_host;recovery verdict=PASS rows=3/3 elapsed_s=4.8
2026-08-22T23:14:02+02:00;upstream_1;hard_killed
2026-08-22T23:14:14+02:00;upstream_1;restarted
2026-08-22T23:14:14+02:00;router_1;reconnected=True
2026-08-22T23:14:15+02:00;upstream_1;recovery verdict=PASS rows=3/3 elapsed_s=12.3
2026-08-22T23:14:15+02:00;router_1;hard_killed
2026-08-22T23:14:21+02:00;router_1;restarted
2026-08-22T23:14:26+02:00;router_1;reconnected=True
2026-08-22T23:14:26+02:00;router_1;recovery verdict=PASS rows=3/3 elapsed_s=11.4
2026-08-22T23:14:26+02:00;downstream_host;hard_killed
2026-08-22T23:14:36+02:00;downstream_host;restarted
2026-08-22T23:14:38+02:00;router_1;reconnected=True
2026-08-22T23:14:53+02:00;downstream_host;recovery verdict=FAIL rows=0/3 elapsed_s=26.8
2026-08-22T23:14:53+02:00;router_1;hard_killed
